timestamp,open,high,low,close,volume
1779033600000,78051.42000000,78075.03000000,78051.41000000,78075.02000000,1.46132000
1779033660000,78075.03000000,78096.00000000,78075.02000000,78093.62000000,1.22968000
1779033720000,78093.62000000,78093.62000000,78080.50000000,78080.50000000,0.82486000
1779033780000,78080.51000000,78127.22000000,78080.50000000,78127.21000000,4.60767000
1779033840000,78127.21000000,78127.21000000,78106.75000000,78106.75000000,2.71744000
1779033900000,78106.75000000,78106.75000000,78086.68000000,78086.68000000,0.78323000
1779033960000,78086.68000000,78090.01000000,78086.68000000,78090.00000000,0.87332000
1779034020000,78090.01000000,78104.72000000,78090.00000000,78093.49000000,2.65810000
1779034080000,78093.49000000,78093.50000000,78093.49000000,78093.49000000,0.60783000
1779034140000,78093.49000000,78093.50000000,78093.49000000,78093.50000000,0.18890000
1779034200000,78093.49000000,78093.50000000,78093.49000000,78093.49000000,0.23869000
1779034260000,78093.49000000,78093.50000000,78066.94000000,78066.95000000,2.82521000
1779034320000,78066.95000000,78066.95000000,78066.94000000,78066.94000000,0.92457000
1779034380000,78066.95000000,78066.95000000,78058.38000000,78058.39000000,3.19861000
1779034440000,78058.39000000,78062.83000000,78054.58000000,78062.83000000,1.52252000
1779034500000,78062.83000000,78062.83000000,78057.11000000,78057.11000000,1.55315000
1779034560000,78057.12000000,78066.25000000,78048.36000000,78066.25000000,3.20143000
1779034620000,78066.25000000,78092.44000000,78066.24000000,78069.73000000,2.78664000
1779034680000,78069.73000000,78090.81000000,78069.72000000,78090.81000000,0.53989000
1779034740000,78090.82000000,78090.82000000,78071.25000000,78071.26000000,1.23648000
1779034800000,78071.26000000,78082.12000000,78063.42000000,78082.11000000,1.76119000
1779034860000,78082.12000000,78082.12000000,78082.11000000,78082.11000000,0.35295000
1779034920000,78082.12000000,78082.12000000,78082.11000000,78082.12000000,0.72771000
1779034980000,78082.12000000,78082.12000000,78059.72000000,78066.25000000,2.01519000
1779035040000,78066.24000000,78087.95000000,78066.24000000,78087.95000000,1.43446000
1779035100000,78087.95000000,78111.72000000,78087.94000000,78111.71000000,2.32694000
1779035160000,78111.71000000,78142.85000000,78111.71000000,78130.01000000,5.33332000
1779035220000,78130.02000000,78130.02000000,78123.99000000,78128.36000000,0.47116000
1779035280000,78128.37000000,78135.80000000,78128.36000000,78135.79000000,0.98483000
1779035340000,78135.79000000,78141.36000000,78135.79000000,78141.36000000,0.62259000
1779035400000,78141.36000000,78161.18000000,78133.04000000,78133.05000000,6.39919000
1779035460000,78133.05000000,78141.36000000,78133.04000000,78134.58000000,2.35343000
1779035520000,78134.57000000,78136.00000000,78128.36000000,78132.48000000,1.69721000
1779035580000,78132.48000000,78132.48000000,78132.47000000,78132.48000000,0.37894000
1779035640000,78132.47000000,78132.48000000,78118.00000000,78119.50000000,1.00090000
1779035700000,78119.50000000,78119.50000000,78111.72000000,78111.73000000,0.36010000
1779035760000,78111.72000000,78132.48000000,78111.72000000,78132.47000000,0.96279000
1779035820000,78132.48000000,78132.48000000,78132.47000000,78132.47000000,0.91633000
1779035880000,78132.47000000,78147.00000000,78132.47000000,78141.96000000,1.08073000
1779035940000,78141.96000000,78141.97000000,78141.96000000,78141.97000000,0.16845000
1779036000000,78141.96000000,78157.00000000,78141.96000000,78156.99000000,1.24852000
1779036060000,78157.00000000,78171.03000000,78156.99000000,78160.86000000,1.88756000
1779036120000,78160.86000000,78166.13000000,78149.92000000,78166.13000000,2.76969000
1779036180000,78166.14000000,78193.66000000,78157.67000000,78157.67000000,11.30216000
